City,Connected To,Distance (km)
Candlekeep,Phlan,61
Daggerford,Port Llast,344
Port Llast,Beregost,219
Beregost,Waterdeep,299
Duskwood,Nashkel,206
Shadowdale,Nightstone,90
Beregost,Greenest,458
Nashkel,Neverwinter,128
Red Larch,Lonelywood,235
Beregost,Greenest,345
Shadowdale,Myth Drannor,296
Thundertree,Calimport,400
Helm's Hold,Shadowdale,243
Shadowdale,Temple of Elemental Evil,437
Triboar,Nightstone,390
Phlan,Skullport,417
Beregost,Highcliff,130
Calimport,Duskwood,259
Waterdeep,High Forest,87
Elmwood,Myth Drannor,292
Beregost,Luskan,85
Peldan's Helm,Mirabar,104
Mt. Grimfang,Highcliff,283
Karak Eight Peaks,Dagger Falls,130
Triboar,Luskan,241
Icewind Dale,Karak Eight Peaks,244
High Forest,Luskan,87
Thundertree,Port Llast,496
Daggerford,Dagger Falls,412
High Forest,Shadowdale,237
Highcliff,Duskwood,62
Myth Drannor,Beregost,339
Amn,Silverymoon,78
Dagger Falls,Moonshae Isles,295
Waterdeep,Karak Eight Peaks,146
Westgate,Port Llast,251
Moonshae Isles,Mirabar,448
Nashkel,Ironforge,247
Red Larch,Elmwood,256
Baldur's Gate,Calimport,293
Duskwood,Triboar,360
Moonshae Isles,Candlekeep,159
Peldan's Helm,Westgate,53
Temple of Elemental Evil,Skullport,128
Elmwood,Myth Drannor,309
Elturel,Daggerford,416
Amn,Karak Eight Peaks,349
Phlan,Mount Celestia,362
Highcliff,Candlekeep,376
Elmwood,Shadowdale,122
Highcliff,Temple of Elemental Evil,133
Elturel,Waterdeep,223
Amn,Waterdeep,481
Nashkel,Waterdeep,155
Mirabar,Waterdeep,301
Daggerford,Temple of Elemental Evil,475
Neverwinter,Mt. Grimfang,358
Icewind Dale,Elturel,375
Highcliff,Calimport,188
Menzoberranzan,Thundertree,465
Dagger Falls,Nashkel,241
Amn,Temple of Elemental Evil,276
Dagger Falls,Nightstone,440
Highcliff,Helm's Hold,193
Ironforge,Helm's Hold,72
Mirabar,Daggerford,73
Greenest,Calimport,77
Baldur's Gate,High Forest,219
Myth Drannor,Icewind Dale,399
Westgate,Amn,336
Ironforge,Karak Eight Peaks,333
Moonshae Isles,Karak Eight Peaks,203
Greenest,Westgate,133
Shadowdale,Phlan,481
Ironforge,Red Larch,69
Duskwood,Port Llast,443
Myth Drannor,Temple of Elemental Evil,109
Port Llast,Highcliff,300
Dagger Falls,Baldur's Gate,286
Calimport,High Forest,479
Duskwood,Mount Celestia,450
Duskwood,Myth Drannor,255
Highcliff,Myth Drannor,269
Karak Eight Peaks,Ironforge,444
Moonshae Isles,Westgate,60
Shadowdale,Highcliff,102
Triboar,Neverwinter,405
Highcliff,Icewind Dale,313
Temple of Elemental Evil,Triboar,440
Highcliff,Temple of Elemental Evil,65
Mount Celestia,Amn,178
Baldur's Gate,Mt. Grimfang,279
Red Larch,Mount Celestia,101
Highcliff,Myth Drannor,244
Port Llast,Temple of Elemental Evil,73
Moonshae Isles,Amn,153
Moonshae Isles,Candlekeep,428
Port Llast,Duskwood,223
Temple of Elemental Evil,Myth Drannor,306
